,dataset_ID,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
0,27.0,1990-10-01,2020-09-30,30.0,0.9,11342000,True,2860.0,30.0,0.2277435623476608,0.20875732058365634,0.13183535435950658,36.4,100.0,6.066666666666666,161.0,0.08360956054962297,0.07063689093394226,0.07028677920409397,0.047934939152298246,0.0351470965346928,0.0209304537980832,0.0,0.0,0.0,0.0222393717153216,0.008465151389990402,0.06060330733072896,no trend,False,0.568058623631595,-0.5709129921120505,-0.07586206896551724,-33.0,3141.6666666666665,-3.8298535026500006e-08,4.752593345169251e-06,40.93959397,-122.41723510,1944-10-01,2020-09-30,76.0,CA,False
1,28.5,1990-10-01,2020-09-30,30.0,0.95,11342000,True,4230.0,30.0,0.14145447388214016,0.1349816505119712,0.0914733820480032,18.233333333333334,100.0,5.3,153.0,0.06487992138555648,0.057797128101569686,0.0458231949451008,0.029147611394068365,0.01558957938064128,0.0065262402695951995,0.0,0.0,0.0,0.0121839462202752,0.0074457449123904,0.048061229051923206,no trend,False,0.568058623631595,-0.5709129921120505,-0.07586206896551724,-33.0,3141.6666666666665,-2.7763380961909078e-08,3.325433929999682e-06,40.93959397,-122.41723510,1944-10-01,2020-09-30,76.0,CA,False
2,45.0,1970-10-01,2020-09-30,50.0,0.9,11342000,True,2730.0,49.0,0.23883720132960823,0.2198532729941815,0.13183646946536778,37.204081632653065,98.0,6.142857142857143,160.0,0.08207934747562368,0.0725029071041856,0.07564150352339961,0.04066012831807181,0.031789912984007566,0.0207632711357568,0.0,0.0,0.0,0.0109912406414832,0.03827573343033009,0.05550007695134515,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.93959397,-122.41723510,1944-10-01,2020-09-30,76.0,CA,False
3,47.5,1970-10-01,2020-09-30,50.0,0.95,11342000,True,4098.999999999978,48.0,0.15448411971623333,0.1471801232745531,0.09327074857898415,19.041666666666668,96.0,5.375,150.0,0.07031223248641356,0.05667847400928159,0.052093637860211234,0.03053929770342294,0.024306116408008185,0.007244799507526166,0.0,0.0,0.0,0.007564811588974187,0.03981964806542035,0.0437344284246896,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.93959397,-122.41723510,1944-10-01,2020-09-30,76.0,CA,False
4,27.0,1990-10-01,2020-09-30,30.0,0.9,11345500,True,185.0,23.0,0.014614459466189887,0.0013832725392741287,2.935890655488e-05,47.47826086956522,76.66666666666667,4.260869565217392,257.0,0.0005994110088288,3.792192096672e-05,0.00034007400092736,0.0030799939551615363,0.00838965705884928,0.00596203276445952,0.001139859546993216,0.0008329477655153455,0.0002568904323552,0.0,0.0,0.0,no trend,False,0.6541165786399645,-0.44805073894381003,-0.059770114942528735,-26.0,3113.3333333333335,-5.633562113052632e-10,1.0174168465362632e-07,41.23072860,-120.43717260,1928-10-01,2020-09-30,92.0,CA,False
5,28.5,1990-10-01,2020-09-30,30.0,0.95,11345500,True,261.14999999999964,17.0,0.011350786505434486,0.0006398586592564952,1.1614038034209989e-05,32.23529411764706,56.666666666666664,2.1176470588235294,243.0,0.00019743864658156978,0.0,7.54768556015049e-05,0.001514954529311049,0.006743396785969763,0.007186485379381271,0.0006482201909762943,0.0003819104427680694,0.0,0.0,0.0,0.0,no trend,False,0.4332885703160312,-0.7835766347327681,-0.09885057471264368,-43.0,2873.0,0.0,2.27525862431e-08,41.23072860,-120.43717260,1928-10-01,2020-09-30,92.0,CA,False
6,45.0,1970-10-01,2020-09-30,50.0,0.9,11345500,True,194.0,40.0,0.014720922732948769,0.001293076340576496,6.6485690469072e-05,45.525,80.0,3.85,255.0,0.0007380502897824,0.00011254247512704,0.001287388052431488,0.00202984217819712,0.008440817881854823,0.006421945121712743,0.000925131766551552,0.00064725515284416,6.52420145664e-05,0.0,0.0,0.00022019179916160002,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.23072860,-120.43717260,1928-10-01,2020-09-30,92.0,CA,False
7,47.5,1970-10-01,2020-09-30,50.0,0.95,11345500,True,277.0,30.0,0.010998906578194752,0.00044152533357811203,2.9929774182336003e-05,30.133333333333333,60.0,2.066666666666667,242.0,0.00044894661273504004,0.0,0.0001957260436992,0.0012849958452307202,0.006287277330466758,0.00735019254522336,0.00047647058763024004,0.00018104659042176,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.23072860,-120.43717260,1928-10-01,2020-09-30,92.0,CA,False
8,27.0,1990-10-01,2020-09-30,30.0,0.9,11348500,False,563.6000000000022,25.0,0.07201381599252071,0.047344485872069256,0.022847218516633773,43.84,83.33333333333334,4.4,196.0,0.017053421989392317,0.0258680102367274,0.022780248404206525,0.017463481493664876,0.026365738847437172,0.012922723068856128,0.0,0.0,0.0,0.0,0.003458968507274075,0.004883731776626954,no trend,False,0.5915050369949164,-0.5366563145999496,-0.07126436781609195,-31.0,3125.0,-6.6182763136777785e-09,6.189488464037277e-07,41.40600116,-120.92774580,1904-01-01,2020-09-30,116.7,CA,False
9,28.5,1990-10-01,2020-09-30,30.0,0.95,11348500,False,921.2999999999993,19.0,0.058875758876339945,0.03837102210001589,0.021270875470272406,28.842105263157894,63.33333333333333,4.0,187.0,0.017876148886157194,0.022432259731387176,0.015784458532805263,0.013290831365739664,0.0316444484986665,0.0146291027526984,0.0,0.0,0.0,0.0,8.734274700076979e-05,0.003787739329177849,no trend,False,0.5452776010138645,-0.6048516055410978,-0.07816091954022988,-34.0,2976.6666666666665,0.0,3.7096484888330003e-07,41.40600116,-120.92774580,1904-01-01,2020-09-30,116.7,CA,False
10,45.0,1970-10-01,2020-09-30,50.0,0.9,11348500,False,609.0,43.0,0.06935410115716836,0.0496193400359278,0.023592441786603777,42.325581395348834,86.0,4.674418604651163,190.0,0.016684977977480555,0.026056146071053443,0.025241488639906096,0.01384571469962688,0.02111010234533568,0.01818137666109024,0.0029725892886816,0.0,0.0,0.0,0.00332978931843264,0.00835220115227232,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.40600116,-120.92774580,1904-01-01,2020-09-30,116.7,CA,False
11,47.5,1970-10-01,2020-09-30,50.0,0.95,11348500,False,958.0,34.0,0.055251159476946525,0.040578542219415134,0.022029469925075068,26.852941176470587,68.0,3.764705882352941,182.0,0.018278692116031874,0.0232105262863152,0.02184582256316928,0.009813934097011652,0.021945171005886242,0.018438922426181042,0.00023487125243904,0.0,0.0,0.0,0.00506930453180928,0.00712901531980008,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.40600116,-120.92774580,1904-01-01,2020-09-30,116.7,CA,False
12,27.0,1990-10-01,2020-09-30,30.0,0.9,11355500,False,177.0,6.0,0.00490416068243808,0.00104754209638176,0.00048564524592863996,50.666666666666664,20.0,5.166666666666667,244.0,0.00034986030311232003,0.00149730423429888,0.00016881371269056002,0.0009378539593920001,0.001845125724456,0.00271631050021296,0.0005688288145008,1.4679453277440001e-05,0.0,5.137808647104e-05,0.00022019179916160002,0.00071684663504832,increasing,True,0.013688964929163161,2.4653233664055643,0.22298850574712645,97.0,1516.3333333333333,0.0,0.0,40.68911110,-121.42280560,1926-07-07,2020-09-30,94.2,CA,False
13,28.5,1990-10-01,2020-09-30,30.0,0.95,11355500,False,208.0,5.0,0.002524376648610432,0.000586199500879104,0.00039340934783539205,30.4,16.666666666666664,3.0,234.0,0.00043304387168448006,0.00106181378706816,2.44657554624e-06,0.00048075209483616006,0.0012398021580571198,0.0015772257021427199,0.0,0.0,0.0,0.0,0.0,0.00047218908042432,increasing,True,0.04653027983245872,1.990550927163275,0.167816091954023,73.0,1308.3333333333333,0.0,0.0,40.68911110,-121.42280560,1926-07-07,2020-09-30,94.2,CA,False
14,45.0,1970-10-01,2020-09-30,50.0,0.9,11355500,False,193.0,24.0,0.00473473532586096,0.00103785773484456,0.0004199954687712,42.916666666666664,48.0,4.0,225.0,0.0006958060853506561,0.0013472476007961602,0.00037983085355376,0.00033133623111936003,0.001411796418957792,0.003654054677368911,0.0014401155309055201,0.00035964660529728,2.44657554624e-06,0.000148751793211392,0.00157844898991584,0.000511823604273408,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.68911110,-121.42280560,1926-07-07,2020-09-30,94.2,CA,False
